Genre;Year;Rating
Action;2016;6.1
Action;2016;6.7
Action;2016;5.9
Action;2016;8
Action;2016;7.9
Action;2016;7.6
Action;2011;6.7
Action;2016;5.8
Action;2014;7.2
Action;2014;7.7
Action;2015;8.1
Action;2016;7.2
Action;2016;7.1
Action;2007;7.1
Mystery;2016;5.3
Action;2015;7
Action;2009;7.8
Action;2016;7.4
Action;2016;7
Action;2016;7.4
Action;2011;7
Action;2016;6.3
Action;2006;7.7
Action;2016;8.8
Action;2016;7.4
Action;2009;7.6
Action;2016;6.2
Action;2015;7.6
Action;2007;4.7
Action;2007;7.9
Action;2016;7
Action;2016;6.1
Action;2015;6.8
Action;2015;6.5
Action;2008;7
Action;2015;7.3
Action;2011;6.9
Action;2016;6.3
Adventure;2012;7
Adventure;2016;7
Adventure;2016;5.6
Adventure;2016;7.3
Adventure;2009;8.3
Adventure;2014;6.7
Adventure;2016;7.5
Adventure;2016;6.6
Adventure;2015;8
Adventure;2014;6
Adventure;2012;7.2
Adventure;2007;8.1
Animation;2016;7.2
Animation;2016;7.7
Animation;2016;6.6
Animation;2016;6.5
Animation;2016;7.4
Animation;2016;7.9
Biography;2016;7.8
Biography;2016;7.2
Biography;2016;7.5
Biography;2013;8.1
Biography;2015;7.3
Comedy;2016;6.4
Comedy;2016;6.8
Comedy;2007;7.1
Comedy;2016;7.9
Comedy;2016;7.1
Comedy;2016;5.8
Comedy;2010;6.2
Comedy;2011;7.4
Comedy;2015;6.3
Crime;2014;8.1
Crime;2006;8.5
Crime;2016;7.9
Crime;2016;7.7
Crime;2012;7.3
Drama;2016;8
Drama;2016;7.9
Drama;2016;7.5
Drama;2016;7.5
Drama;2016;3.7
Drama;2016;7.4
Drama;2015;4.1
Drama;2016;6.8
Drama;2014;7.7
Sci-Fi;2014;8.5
Drama;2013;7.3
Drama;2015;8.2
Drama;2016;8.1
Drama;2008;5.2
Drama;2013;8
Drama;2015;6
Drama;2015;6.6
Drama;2016;5.6
Horror;2016;4.7
Horror;2016;6.8
Horror;2016;5.8
Horror;2015;6.8
Horror;2016;5.8
Mystery;2016;7.1
Sci-Fi;2016;5.9
